x1,y1,z1,x2,y2,z2
-29,12,40,,,
-29,12,-40,,,
-29,13,40,,,
-29,13,-40,,,
-29,14,40,,,
-29,14,-40,,,
-29,15,40,,,
-29,15,-40,,,
-29,16,40,,,
-29,16,-40,,,
-29,17,40,,,
-29,17,-40,,,
-29,18,40,,,
-29,18,-40,,,
-29,19,40,,,
-29,19,-40,,,
-29,20,40,,,
-29,20,-40,,,
-29,21,40,,,
-29,21,-40,,,
-29,22,40,,,
-29,22,-40,,,
-29,23,40,,,
-29,23,-40,,,
-29,24,40,,,
-29,24,-40,,,
-29,25,40,,,
-29,25,-40,,,
-29,26,40,,,
-29,26,-40,,,
-29,27,40,,,
-29,27,-40,,,
-28,-28,40,,,
-28,-28,-40,,,
-28,-27,40,,,
-28,-27,-40,,,
-28,-26,40,,,
-28,-26,-40,,,
-28,-25,40,,,
-28,-25,-40,,,
-28,-24,40,,,
-28,-24,-40,,,
-28,-23,40,,,
-28,-23,-40,,,
-28,-22,40,,,
-28,-22,-40,,,
-28,-21,40,,,
-28,-21,-40,,,
-28,-20,40,,,
-28,-20,-40,,,
-28,-19,40,,,
-28,-19,-40,,,
-28,-18,40,,,
-28,-18,-40,,,
-28,-17,40,,,
-28,-17,-40,,,
-28,-16,40,,,
-28,-16,-40,,,
-28,-15,40,,,
-28,-15,-40,,,
-28,-14,40,,,
-28,-14,-40,,,
-28,-13,40,,,
-28,-13,-40,,,
-28,-12,40,,,
-28,-12,-40,,,
-28,-11,40,,,
-28,-11,-40,,,
-28,-10,40,,,
-28,-10,-40,,,
-28,-9,40,,,
-28,-9,-40,,,
-28,-8,40,,,
-28,-8,-40,,,
-28,-7,40,,,
-28,-7,-40,,,
-28,-6,40,,,
-28,-6,-40,,,
-28,-5,40,,,
-28,-5,-40,,,
-28,-4,40,,,
-28,-4,-40,,,
-28,-3,40,,,
-28,-3,-40,,,
-28,-2,40,,,
-28,-2,-40,,,
-28,-1,40,,,
-28,-1,-40,,,
-28,0,40,,,
-28,0,-40,,,
-28,1,40,,,
-28,1,-40,,,
-28,2,40,,,
-28,2,-40,,,
-28,3,40,,,
-28,3,-40,,,
-28,4,40,,,
-28,4,-40,,,
-28,5,40,,,
-28,5,-40,,,
-28,6,40,,,
-28,6,-40,,,
-28,7,40,,,
-28,7,-40,,,
-28,8,40,,,
-28,8,-40,,,
-28,9,40,,,
-28,9,-40,,,
-28,10,40,,,
-28,10,-40,,,
-28,11,40,,,
-28,11,-40,,,
-28,12,40,,,
-28,12,-40,,,
-28,13,40,,,
-28,13,-40,,,
-28,14,40,,,
-28,14,-40,,,
-28,15,40,,,
-28,15,-40,,,
-28,16,40,,,
-28,16,-40,,,
-28,17,40,,,
-28,17,-40,,,
-28,18,40,,,
-28,18,-40,,,
-28,19,40,,,
-28,19,-40,,,
-28,20,40,,,
-28,20,-40,,,
-28,21,40,,,
-28,21,-40,,,
-28,22,40,,,
-28,22,-40,,,
-28,23,40,,,
-28,23,-40,,,
-28,24,40,,,
-28,24,-40,,,
-28,25,40,,,
-28,25,-40,,,
-28,26,40,,,
-28,26,-40,,,
-28,27,40,,,
-28,27,-40,,,
-28,28,40,,,
-28,28,-40,,,
-27,-29,40,,,
-27,-29,-40,,,
-27,-28,40,,,
-27,-28,-40,,,
-27,-27,40,,,
-27,-27,-40,,,
-27,-26,40,,,
-27,-26,-40,,,
-27,-25,40,,,
-27,-25,-40,,,
-27,-24,40,,,
-27,-24,-40,,,
-27,-23,40,,,
-27,-23,-40,,,
-27,-22,40,,,
-27,-22,-40,,,
-27,-21,40,,,
-27,-21,-40,,,
-27,-20,40,,,
-27,-20,-40,,,
-27,-19,40,,,
-27,-19,-40,,,
-27,-18,40,,,
-27,-18,-40,,,
-27,-17,40,,,
-27,-17,-40,,,
-27,-16,40,,,
-27,-16,-40,,,
-27,-15,40,,,
-27,-15,-40,,,
-27,-14,40,,,
-27,-14,-40,,,
-27,-13,40,,,
-27,-13,-40,,,
-27,-12,40,,,
-27,-12,-40,,,
-27,-11,40,,,
-27,-11,-40,,,
-27,-10,40,,,
-27,-10,-40,,,
-27,-9,40,,,
-27,-9,-40,,,
-27,-8,40,,,
-27,-8,-40,,,
-27,-7,40,,,
-27,-7,-40,,,
-27,-6,40,,,
-27,-6,-40,,,
-27,-5,40,,,
-27,-5,-40,,,
-27,-4,40,,,
-27,-4,-40,,,
-27,-3,40,,,
